"Codigo","Nombre","Modelo","Descripcion","Pcosto","Pventa","PMayor","Pordes","Porpro","Grupo","Familia","Marca","Feuling","Feulve","Observaciones","Status","Exiact","Id","Propietario","Minimo","Idereg","Costor","Invini","Proveedor","Ultmov","Bodega","Nombod","Ventas","Compras","Apos","Aneg"
ALP103,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 146,"1.60*1.15",AMARILLA TIERRA ,125.0,280.0,0.0,,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-06-12 00:00:00.000,2012-07-21 00:00:00.000,"",A,0.0,246,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-07-21 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP104,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 167,"1.40*2.00",TERRACOTA  PURA,175.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,249,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-04-11 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP105,ALFOMBRA ANTIALERGICA  CARPETS LUXURY SHAGGY 1418,"1.60*1.15",MECHITAS BEIGE CON NEGRO,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,2011-08-29 00:00:00.000,"",A,0.0,251,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-08-29 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP106,ALFOMBRA ANTIALERGICA CARPETS 177,"1.60*1.15",CELESTE OPACO PURO,125.0,280.0,0.0,,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-03-20 00:00:00.000,,"",A,0.0,253,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-03-20 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP107,ALFOMBRA ANTIALERGICA CARPETS B-1,"1.60*1.15","CHICOLATE,BEIGE Y ABANO",125.0,280.0,0.0,2.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-06-14 00:00:00.000,2012-08-22 00:00:00.000,"",A,1.0,255,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O,2012-08-22 00:00:00.000,1,D ROSIE,3.0,3.0,0.0,0.0
ALP108,ALFOMBRA ANTIALERGICA CARPETS VISCOSE SHAGGY 172,"1.60*1.15",ABANA PURA,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",A,1.0,257,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,,1,D ROSIE,0.0,0.0,0.0,0.0
ALP109,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 167 ,"1.60*1.15","TERRACOTA,BLANCO Y CHOCOLATE",125.0,280.0,0.0,2.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-06-14 00:00:00.000,,"",A,2.0,259,ANGELA LARREA,0.0,1,125.0,3.0,CABRERA PATI�O,2012-06-14 00:00:00.000,1,D ROSIE,0.0,1.0,0.0,0.0
ALP110,ALFOMBRA ANTIALERGICA VICOSE SHAGGY 144,"1.60*1.15",VERDE,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-06-14 00:00:00.000,,"",A,2.0,261,ANGELA LARREA,0.0,1,125.0,3.0,CABRERA PATI�O,2012-06-14 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP111,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY SPD-003,"1.60*1.15","CHOCOLATE, BLANCA Y TOMATE",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,2011-12-06 00:00:00.000,"",A,0.0,263,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-12-06 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP112,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 58,"1.60*1.15",BLANCA PURA,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,2011-10-24 00:00:00.000,"",A,0.0,265,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-10-24 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP113,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 1410,"1.60*1.15",MECHITAS ROJAS,125.0,280.0,0.0,,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-03-20 00:00:00.000,,"",A,0.0,267,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-03-20 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP114,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY SPD-001,"1.60*1.15","ABANA,TERRACOTA Y CHOCOLATE",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",A,0.0,269,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-08-01 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP115,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 142,"1.60*1.15",CAFE OSCURA PURA,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",A,1.0,271,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,,1,D ROSIE,0.0,0.0,0.0,0.0
ALP116,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 165,"1.60*1.15",CHOCOLATE CON CAFE,125.0,280.0,0.0,,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-03-20 00:00:00.000,,"",A,0.0,273,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-03-20 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP117,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 143,"1.60*1.15",TERRACOTA,125.0,280.0,0.0,,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-06-14 00:00:00.000,,"",A,1.0,275,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O,2012-06-14 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP118,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY R1,"1.60*1.15",NARANJA CON MARRON,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2011-11-20 00:00:00.000,2011-10-13 00:00:00.000,"",A,1.0,277,ANGELA LARREA,0.0,1,125.0,1.0,CABRERA PATI�O,2011-11-20 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALP119,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY C-1,"1.60*1.15",TOMATE CON MELON CLARO,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-06-14 00:00:00.000,2012-06-06 00:00:00.000,"",A,1.0,279,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O,2012-06-14 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALP120,ALFOMBRA ANTIALERGICA CARPERTS LUXURY SHAGGY1409,"1.60*1.15",MECHITAS  AMARILLA CON NEGRO,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,2011-09-28 00:00:00.000,"",A,0.0,281,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-09-28 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP121,ALFOMBRA ANTIALERGICA  VISCOSE SHAGGY 151,"1.60*1.15",ROJA PURA,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-06-14 00:00:00.000,2012-04-11 00:00:00.000,"",A,1.0,283,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O ANGEL EDUARDO,2012-06-14 00:00:00.000,2,INNOVARTE,2.0,1.0,0.0,0.0
ALP122,ALFOMBRA  ANTIALERGICA VISCOSE  SHAGGY S/C,"1.60*1.15",ROJA PURA,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,2012-01-11 00:00:00.000,"",A,0.0,285,ANGELA LARREA,0.0,1,125.0,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-01-11 00:00:00.000,2,INNOVARTE,2.0,1.0,0.0,0.0
