"Fechfa","Costo","Venta","Total","mes","aaaa","Descu","Contro","Codart","Nommarca"
2010-01-04 00:00:00.000,49.89,99.0,61.38,1,2010,37.62,APE,APE-002,
2010-01-04 00:00:00.000,142.64,297.6,184.512,1,2010,113.08800000000001,APE,APE-028,
2010-01-04 00:00:00.000,146.0,243.4,146.04,1,2010,97.36000000000001,"210","2101-2202025",
2010-01-04 00:00:00.000,43.0,74.0,44.4,1,2010,29.6,"210","2101-2919108-10",
2010-01-04 00:00:00.000,313.6,676.0,419.12,1,2010,256.88,APE,APE-023,
2010-01-04 00:00:00.000,43.0,74.0,45.879999999999995,1,2010,28.12,"210","2101-2919108-10",
2010-01-04 00:00:00.000,59.2,100.8,60.48,1,2010,40.32,"210","2105-5606010",
2010-01-04 00:00:00.000,182.0,382.0,236.84,1,2010,145.16,APE,APE-029,
2010-01-04 00:00:00.000,54.599999999999994,114.60000000000001,71.052,1,2010,43.548,APE,APE-029,
2010-01-04 00:00:00.000,54.599999999999994,114.60000000000001,71.052,1,2010,43.548,APE,APE-030,
2010-01-04 00:00:00.000,168.0,320.0,214.39999999999998,1,2010,105.60000000000001,CNC,CNC-002,
2010-01-04 00:00:00.000,188.9,389.90000000000003,241.73800000000003,1,2010,148.162,APE,APE-027,
2010-01-04 00:00:00.000,285.0,500.0,310.0,1,2010,190.0,TKS,TKS-008,
2010-01-04 00:00:00.000,91.0,191.0,118.42,1,2010,72.58,APE,APE-030,
2010-01-04 00:00:00.000,21.9,43.0,23.65,1,2010,19.35,JHI,JHI-001,
2010-01-04 00:00:00.000,16.8,32.0,21.439999999999998,1,2010,10.56,CNC,CNC-002,
2010-01-04 00:00:00.000,31.36,67.6,41.91199999999999,1,2010,25.688,APE,APE-023,
2010-01-05 00:00:00.000,36.76,90.0,51.3,1,2010,38.7,APE,APE-040,
2010-01-05 00:00:00.000,55.300000000000004,88.2,57.330000000000005,1,2010,30.869999999999997,"210","2101-3508180",
2010-01-05 00:00:00.000,38.94,66.33,36.4815,1,2010,29.8485,HY-,HY-234,
2010-01-05 00:00:00.000,173.25,322.5,177.375,1,2010,145.125,JHI,JHI-003,
2010-01-05 00:00:00.000,65.69999999999999,129.0,70.94999999999999,1,2010,58.050000000000004,JHI,JHI-014,
2010-01-05 00:00:00.000,37.04,62.96,34.628,1,2010,28.332,HY-,HY-287,
2010-01-05 00:00:00.000,10.54,21.3,12.141,1,2010,9.159,BAI,BAI-014,
2010-01-05 00:00:00.000,149.4,239.1,131.505,1,2010,107.595,HY-,HY-067,
2010-01-05 00:00:00.000,112.56,191.39999999999998,105.26999999999998,1,2010,86.13,HY-,HY-279,
2010-01-05 00:00:00.000,73.43,124.82,68.651,1,2010,56.169,HY-,HY-213,
2010-01-05 00:00:00.000,37.68,56.0,34.72,1,2010,21.28,TRI,TRIC-001,
2010-01-05 00:00:00.000,82.5,148.5,99.495,1,2010,49.005,PFI,PFI-067,
2010-01-05 00:00:00.000,106.97999999999999,223.20000000000002,138.38400000000001,1,2010,84.816,APE,APE-028,
2010-01-05 00:00:00.000,75.56,155.96,96.6952,1,2010,59.2648,APE,APE-027,
2010-01-05 00:00:00.000,30.5,60.64,40.6288,1,2010,20.011200000000002,SKT,SKT-384,
2010-01-05 00:00:00.000,104.25,185.65,124.38550000000001,1,2010,61.264500000000005,SKT,SKT-399,
2010-01-05 00:00:00.000,43.8,86.0,47.3,1,2010,38.7,JHI,JHI-151,
2010-01-05 00:00:00.000,32.849999999999994,64.5,35.474999999999994,1,2010,29.025000000000002,JHI,JHI-001,
2010-01-05 00:00:00.000,60.4,102.8,56.54,1,2010,46.26,HY-,HY-195,
2010-01-05 00:00:00.000,48.92,86.0,47.3,1,2010,38.7,JHI,JHI-015,
2010-01-05 00:00:00.000,49.4,88.0,54.56,1,2010,33.44,BAI,BAI-029,
2010-01-05 00:00:00.000,43.8,86.0,47.3,1,2010,38.7,JHI,JHI-115,
2010-01-05 00:00:00.000,24.8,60.0,34.2,1,2010,25.8,CDI,CDI-001,
2010-01-05 00:00:00.000,183.79999999999998,450.0,279.0,1,2010,171.0,APE,APE-040,
2010-01-05 00:00:00.000,44.84,86.0,47.3,1,2010,38.7,JHI,JHI-005,
2010-01-05 00:00:00.000,53.2,90.5,49.775,1,2010,40.725,HY-,HY-203,
2010-01-06 00:00:00.000,23.06,43.0,23.65,1,2010,19.35,JHI,JHI-103,
2010-01-06 00:00:00.000,4.85,8.72,5.8424000000000005,1,2010,2.8776,PFI,PFI-033,
2010-01-06 00:00:00.000,9.36,16.26,10.894200000000001,1,2010,5.365800000000001,PFI,PFI-042,
2010-01-06 00:00:00.000,11.74,20.96,14.0432,1,2010,6.9168,PFI,PFI-043,
2010-01-06 00:00:00.000,13.08,23.54,15.771799999999999,1,2010,7.7682,PFI,PFI-054,
2010-01-06 00:00:00.000,11.1,19.98,13.3866,1,2010,6.593400000000001,PFI,PFI-056,
2010-01-06 00:00:00.000,13.32,24.0,16.08,1,2010,7.92,PFI,PFI-031,
2010-01-06 00:00:00.000,21.9,43.0,23.65,1,2010,19.35,JHI,JHI-030,
2010-01-06 00:00:00.000,8.22,14.8,9.916,1,2010,4.884,PFI,PFI-025,
2010-01-06 00:00:00.000,23.94,43.0,23.65,1,2010,19.35,JHI,JHI-109,
2010-01-06 00:00:00.000,10.0,17.98,12.0466,1,2010,5.933400000000001,PFI,PFI-062,
2010-01-06 00:00:00.000,18.08,36.0,22.32,1,2010,13.68,BAI,BAI-003,
2010-01-06 00:00:00.000,20.0,35.96,24.0932,1,2010,11.866800000000001,PFI,PFI-027,
2010-01-06 00:00:00.000,102.18,170.88,93.984,1,2010,76.896,HY-,HY-256,
2010-01-06 00:00:00.000,13.14,23.64,15.838799999999999,1,2010,7.801200000000001,PFI,PFI-019,
2010-01-06 00:00:00.000,20.0,35.96,24.0932,1,2010,11.866800000000001,PFI,PFI-017,
2010-01-06 00:00:00.000,15.4,27.76,18.5992,1,2010,9.160800000000002,PFI,PFI-011,
2010-01-06 00:00:00.000,11.16,20.08,13.453599999999998,1,2010,6.626399999999999,PFI,PFI-010,
2010-01-06 00:00:00.000,10.72,19.28,12.9176,1,2010,6.362400000000001,PFI,PFI-006,
2010-01-06 00:00:00.000,62.72,135.2,83.82399999999998,1,2010,51.376,APE,APE-023,
2010-01-06 00:00:00.000,14.76,40.5,26.325000000000003,1,2010,14.174999999999999,"210","2101-1007014",
2010-01-06 00:00:00.000,21.66,40.5,26.325000000000003,1,2010,14.174999999999999,"210","2101-1007013",
2010-01-06 00:00:00.000,21.9,43.0,23.65,1,2010,19.35,JHI,JHI-004,
2010-01-06 00:00:00.000,8.28,14.68,9.8356,1,2010,4.8444,PFI,PFI-029,
2010-01-06 00:00:00.000,38.9,70.05,46.933499999999995,1,2010,23.1165,SKT,SKT-459,
2010-01-06 00:00:00.000,40.52,80.0,49.6,1,2010,30.4,BAI,BAI-009,
2010-01-06 00:00:00.000,10.64,18.1,9.955,1,2010,8.145000000000001,HY-,HY-203,
2010-01-06 00:00:00.000,8.64,14.68,8.074,1,2010,6.606,HY-,HY-273,
2010-01-06 00:00:00.000,12.42,21.12,11.616,1,2010,9.504000000000001,HY-,HY-074,
2010-01-06 00:00:00.000,45.39,74.14,40.777,1,2010,33.363,HY-,HY-239,
2010-01-06 00:00:00.000,10.08,16.56,9.107999999999999,1,2010,7.452,HY-,HY-189,
2010-01-06 00:00:00.000,11.25,20.25,13.567499999999999,1,2010,6.6825,SKT,SKT-186,
2010-01-06 00:00:00.000,26.74,51.96,34.813199999999995,1,2010,17.146800000000002,SKT,SKT-248,
2010-01-06 00:00:00.000,18.1,32.59,21.835300000000004,1,2010,10.754700000000001,SKT,SKT-454,
2010-01-06 00:00:00.000,22.42,48.0,29.759999999999998,1,2010,18.240000000000002,BAI,BAI-031,
2010-01-06 00:00:00.000,1.2,2.16,1.4472,1,2010,0.7128000000000001,SKT,SKT-198,
2010-01-06 00:00:00.000,40.52,80.0,49.6,1,2010,30.4,BAI,BAI-009,
2010-01-06 00:00:00.000,6.96,12.42,8.3214,1,2010,4.0986,SKT,SKT-430,
2010-01-06 00:00:00.000,2.05,3.64,2.4388,1,2010,1.2012,SKT,SKT-208,
2010-01-06 00:00:00.000,2.32,4.16,2.7872000000000003,1,2010,1.3728,SKT,SKT-431,
2010-01-06 00:00:00.000,12.51,22.53,15.0951,1,2010,7.434900000000001,SKT,SKT-041,
2010-01-06 00:00:00.000,16.76,30.12,20.1804,1,2010,9.9396,PFI,PFI-058,
2010-01-06 00:00:00.000,13.16,22.38,12.309,1,2010,10.071,HY-,HY-201,
2010-01-06 00:00:00.000,17.4,28.42,15.631,1,2010,12.789000000000001,HY-,HY-199,
2010-01-06 00:00:00.000,37.52,63.8,35.089999999999996,1,2010,28.71,HY-,HY-279,
2010-01-06 00:00:00.000,21.76,36.96,20.328,1,2010,16.632,HY-,HY-236,
2010-01-06 00:00:00.000,25.0,40.0,24.8,1,2010,15.2,VTR,VTR-001,
2010-01-06 00:00:00.000,11.25,20.82,13.9494,1,2010,6.8706000000000005,SKT,SKT-456,
